CodeInsee;Gagnant
59194;LE PEN
14238;FILLON
14239;LE PEN
59195;FILLON
9111;MÉLENCHON
67123;LE PEN
80267;LE PEN
57193;LE PEN
95211;MACRON
59196;FILLON
59197;FILLON
63148;MACRON
18088;FILLON
62295;LE PEN
62296;MACRON
65157;MÉLENCHON
79111;LE PEN
68082;LE PEN
13033;LE PEN
4074;MÉLENCHON
38154;LE PEN
63149;MACRON
84043;LE PEN
58109;LE PEN
53094;MACRON
57194;MACRON
6056;MÉLENCHON
12094;FILLON
83051;LE PEN
84044;LE PEN
88159;LE PEN
38155;LE PEN
39208;MÉLENCHON
73010;LE PEN
74110;FILLON
73107;MACRON
4075;MÉLENCHON
4076;LE PEN
4077;MÉLENCHON
74111;MACRON
67124;LE PEN
63150;MACRON
66066;MÉLENCHON
76235;LE PEN
76236;LE PEN
28406;FILLON
5047;MÉLENCHON
31168;MACRON
10138;LE PEN
80268;LE PEN
2277;LE PEN
21245;FILLON
74112;MACRON
27218;LE PEN
14240;LE PEN
79112;MACRON
2278;MACRON
17152;LE PEN
80269;LE PEN
2279;LE PEN
28139;MACRON
80270;LE PEN
27219;LE PEN
80271;LE PEN
37100;LE PEN
37101;FILLON
80272;LE PEN
16128;MÉLENCHON
25218;LE PEN
25219;LE PEN
51229;FILLON
42088;LE PEN
62297;LE PEN
51230;LE PEN
21246;LE PEN
28140;MACRON
71188;MÉLENCHON
71189;LE PEN
25220;LE PEN
67125;FILLON
41077;LE PEN
95212;LE PEN
95213;FILLON
2280;LE PEN
27220;LE PEN
49131;LE PEN
45134;FILLON
73109;LE PEN
54178;FILLON
55173;LE PEN
71190;LE PEN
88160;MACRON
95214;LE PEN
91215;MÉLENCHON
76237;LE PEN
14241;LE PEN
91216;MACRON
93031;MÉLENCHON
89152;LE PEN
89153;LE PEN
18089;LE PEN
72126;FILLON
60210;LE PEN
35104;FILLON
55174;FILLON
26118;LE PEN
62298;LE PEN
58110;LE PEN
52187;LE PEN
80273;LE PEN
54179;LE PEN
21247;FILLON
78217;MACRON
10139;LE PEN
76238;LE PEN
51232;LE PEN
2282;LE PEN
59198;MÉLENCHON
80274;LE PEN
57195;LE PEN
76239;LE PEN
76240;LE PEN
27222;LE PEN
27224;LE PEN
14242;MACRON
62299;LE PEN
41078;LE PEN
80275;LE PEN
14243;FILLON
80276;LE PEN
70214;FILLON
39210;LE PEN
62300;LE PEN
50174;LE PEN
62301;FILLON
95218;MACRON
60211;LE PEN
14244;LE PEN
54180;LE PEN
44054;MACRON
35105;MACRON
9113;MÉLENCHON
35106;LE PEN
35107;MACRON
45135;FILLON
80278;LE PEN
80279;LE PEN
59199;LE PEN
57196;LE PEN
67126;LE PEN
80280;LE PEN
60212;LE PEN
56054;MACRON
49367;MACRON
22053;FILLON
67127;LE PEN
80281;LE PEN
62302;FILLON
29051;MACRON
62303;LE PEN
21248;FILLON
59200;LE PEN
55175;LE PEN
55177;LE PEN
55178;LE PEN
2283;LE PEN
2284;LE PEN
60213;FILLON
28141;LE PEN
28142;LE PEN
76241;MACRON
95219;MACRON
53096;FILLON
60214;LE PEN
76242;LE PEN
76243;LE PEN
14245;LE PEN
57197;LE PEN
55179;LE PEN
67128;LE PEN
67129;LE PEN
62304;LE PEN
26119;LE PEN
80282;LE PEN
50175;MACRON
9114;MÉLENCHON
60215;LE PEN
59201;FILLON
59202;LE PEN
60216;LE PEN
22054;MACRON
66067;LE PEN
59203;LE PEN
70215;MACRON
54181;MÉLENCHON
67130;LE PEN
57198;LE PEN
45136;LE PEN
62306;LE PEN
10140;LE PEN
65158;MACRON
21249;LE PEN
77171;MACRON
70216;LE PEN
65159;MACRON
40093;LE PEN
11126;LE PEN
62307;FILLON
31169;MACRON
60217;LE PEN
46091;MACRON
89154;LE PEN
12095;MACRON
31170;MÉLENCHON
51233;FILLON
59204;LE PEN
66068;MÉLENCHON
47088;LE PEN
82052;LE PEN
59205;LE PEN
33155;MÉLENCHON
59206;LE PEN
65160;MACRON
59207;LE PEN
82053;LE PEN
67131;FILLON
67132;LE PEN
68083;LE PEN
67133;LE PEN
68084;FILLON
57199;LE PEN
60218;LE PEN
67134;LE PEN
9115;LE PEN
80283;LE PEN
48056;LE PEN
32122;MACRON
46092;MÉLENCHON
76244;LE PEN
51234;LE PEN
88161;LE PEN
60219;LE PEN
47089;FILLON
59208;FILLON
62308;LE PEN
24162;MÉLENCHON
89155;LE PEN
8153;LE PEN
65161;LE PEN
65162;MÉLENCHON
15064;FILLON
32123;LE PEN
28143;LE PEN
64205;LE PEN
9116;LE PEN
64206;LASSALLE
65163;MÉLENCHON
64207;MÉLENCHON
64208;MÉLENCHON
65164;LE PEN
31591;MACRON
11127;MÉLENCHON
40094;MACRON
33156;MÉLENCHON
81084;LE PEN
64209;MÉLENCHON
63151;LE PEN
14246;MACRON
6058;LE PEN
45137;LE PEN
45138;FILLON
81085;MACRON
11128;MÉLENCHON
64210;MACRON
3109;LE PEN
76245;LE PEN
88162;LE PEN
64211;MACRON
77172;LE PEN
80284;LE PEN
70217;FILLON
70218;LE PEN
17153;MACRON
25221;FILLON
59209;LE PEN
55180;LE PEN
89156;LE PEN
52190;LE PEN
19075;MACRON
46093;MACRON
82054;LE PEN
43088;MÉLENCHON
12096;FILLON
43089;MACRON
31171;MACRON
32124;FILLON
5049;MACRON
31172;LE PEN
83052;LE PEN
4081;FILLON
65165;MÉLENCHON
82055;LE PEN
19076;MÉLENCHON
32125;FILLON
60220;LE PEN
65166;MÉLENCHON
64212;MACRON
46094;MÉLENCHON
64213;MACRON
26121;LE PEN
26122;MÉLENCHON
81086;MÉLENCHON
11129;MÉLENCHON
31173;MÉLENCHON
46095;MÉLENCHON
64214;FILLON
12097;MACRON
46096;MACRON
11130;LE PEN
65167;MACRON
47090;LE PEN
33157;LE PEN
82056;FILLON
15065;FILLON
63152;MÉLENCHON
5050;LE PEN
3110;MACRON
63153;MACRON
14248;LE PEN
66070;LE PEN
66069;LE PEN
63154;LE PEN
64215;MÉLENCHON
43090;FILLON
9117;FILLON
9118;MÉLENCHON
64216;MACRON
34094;LE PEN
70219;LE PEN
14249;MACRON
14250;MACRON
2286;LE PEN
59210;LE PEN
60221;LE PEN
59211;LE PEN
62309;LE PEN
65168;MÉLENCHON
64217;MACRON
39211;LE PEN
21250;LE PEN
62310;LE PEN
85084;FILLON
61156;LE PEN
16131;MACRON
35108;MACRON
88163;LE PEN
90039;MACRON
80285;LE PEN
71191;LE PEN
70220;LE PEN
42089;MACRON
42090;LE PEN
74114;FILLON
73110;LE PEN
39214;LE PEN
21251;LE PEN
54182;LE PEN
54183;LE PEN
54184;MACRON
2287;LE PEN
2288;LE PEN
2289;LE PEN
2290;LE PEN
14251;LE PEN
17277;LE PEN
10141;LE PEN
60222;LE PEN
48057;FILLON
26123;MÉLENCHON
31174;MACRON
66071;LE PEN
12098;FILLON
65169;MACRON
59212;LE PEN
46097;MACRON
32126;FILLON
65170;LE PEN
31175;MACRON
63155;MÉLENCHON
32127;MACRON
65171;MACRON
66072;LE PEN
63156;MÉLENCHON
31176;LE PEN
65172;MACRON
64218;LASSALLE
51237;LE PEN
65173;MÉLENCHON
62311;LE PEN
76247;LE PEN
30107;LE PEN
64219;MACRON
40095;MACRON
40096;LE PEN
47091;LE PEN
32128;MÉLENCHON
65174;LE PEN
10142;LE PEN
19077;FILLON
3111;LE PEN
42091;LE PEN
19078;MACRON
66073;LE PEN
64220;MACRON
4084;MÉLENCHON
91222;LE PEN
59213;LE PEN
45139;LE PEN
38157;MACRON
32129;LE PEN
8154;FILLON
80287;LE PEN
62312;LE PEN
62313;LE PEN
62314;LE PEN
62315;MACRON
2291;LE PEN
59214;LE PEN
80288;LE PEN
14252;LE PEN
80290;LE PEN
80557;LE PEN
60223;LE PEN
80291;MACRON
62316;LE PEN
88164;MÉLENCHON
59215;FILLON
59219;LE PEN
37103;LE PEN
37104;MACRON
59216;LE PEN
73111;LE PEN
7086;LE PEN
16132;MÉLENCHON
76249;LE PEN
55181;LE PEN
62317;LE PEN
76250;LE PEN
21252;LE PEN
89158;LE PEN
25222;FILLON
21253;LE PEN
8155;LE PEN
76251;LE PEN
80292;LE PEN
76252;LE PEN
91223;MÉLENCHON
2292;LE PEN
71192;LE PEN
62318;LE PEN
17155;LE PEN
21255;FILLON
89159;MACRON
33159;LE PEN
2293;LE PEN
60224;LE PEN
64221;LE PEN
64222;LASSALLE
74116;FILLON
8156;LE PEN
68085;LE PEN
56055;MACRON
80293;LE PEN
74117;LE PEN
25223;FILLON
62319;LE PEN
80294;LE PEN
14254;MACRON
21256;LE PEN
59217;LE PEN
50177;LE PEN
89160;LE PEN
80295;LE PEN
91225;FILLON
39216;MÉLENCHON
88165;LE PEN
72127;FILLON
89161;MÉLENCHON
70221;LE PEN
51238;LE PEN
39217;MACRON
5051;MÉLENCHON
26124;LE PEN
55182;LE PEN
21257;FILLON
24163;MACRON
10143;LE PEN
76253;LE PEN
25224;LE PEN
2294;LE PEN
60225;LE PEN
25225;LE PEN
25226;LE PEN
25227;FILLON
55183;LE PEN
2295;LE PEN
36071;MACRON
18090;LE PEN
51239;LE PEN
91226;MACRON
14256;LE PEN
2296;LE PEN
80297;FILLON
35109;MACRON
70222;LE PEN
10144;LE PEN
74118;LE PEN
27226;LE PEN
39218;LE PEN
8158;LE PEN
2297;LE PEN
77173;LE PEN
51240;LE PEN
76254;FILLON
2298;LE PEN
54185;MÉLENCHON
27227;LE PEN
1154;LE PEN
16133;LE PEN
49132;LE PEN
80298;LE PEN
71193;FILLON
21258;MACRON
59218;LE PEN
3112;LE PEN
62320;LE PEN
64223;MÉLENCHON
67135;LE PEN
57201;LE PEN
90041;LE PEN
25228;LE PEN
27228;LE PEN
70224;MACRON
57202;LE PEN
76255;LE PEN
52193;LE PEN
40097;MACRON
8159;LE PEN
54186;MACRON
31177;LE PEN
26125;MÉLENCHON
52194;LE PEN
66074;MÉLENCHON
54187;LE PEN
55184;LE PEN
51241;LE PEN
30109;LE PEN
72128;FILLON
39219;LE PEN
88166;LE PEN
23076;MACRON
60226;LE PEN
78227;FILLON
56144;LE PEN
83053;LE PEN
2299;LE PEN
77174;LE PEN
90042;MACRON
69083;MACRON
74119;FILLON
8160;FILLON
25229;FILLON
62321;LE PEN
1155;LE PEN
22056;MACRON
57203;FILLON
14257;MACRON
55185;FILLON
27229;MACRON
60227;LE PEN
56056;LE PEN
53097;FILLON
89162;LE PEN
91228;MÉLENCHON
77175;LE PEN
74121;FILLON
24164;MACRON
8161;FILLON
16134;MÉLENCHON
25230;LE PEN
79114;LE PEN
79115;LE PEN
17156;LE PEN
38158;MACRON
87062;MÉLENCHON
19079;MACRON
9119;MÉLENCHON
38159;LE PEN
26126;MÉLENCHON
13034;FILLON
26127;LE PEN
5052;MÉLENCHON
26128;MÉLENCHON
13035;LE PEN
19080;MACRON
24165;LE PEN
87063;MACRON
24167;LE PEN
26129;LE PEN
16135;MACRON
87064;MÉLENCHON
66075;MACRON
33160;MACRON
13036;LE PEN
33161;LE PEN
19081;MACRON
40098;MACRON
26130;LE PEN
33162;MACRON
25231;FILLON
64224;MÉLENCHON
24170;LE PEN
67136;LE PEN
26131;MÉLENCHON
24171;LE PEN
38160;LE PEN
95229;MACRON
6059;FILLON
27230;LE PEN
11131;MÉLENCHON
9120;MÉLENCHON
31178;MACRON
82057;LE PEN
7087;MÉLENCHON
34095;LE PEN
11132;LE PEN
59220;MÉLENCHON
58111;LE PEN
32130;MÉLENCHON
51242;LE PEN
8162;LE PEN
70225;LE PEN
57204;LE PEN
25232;LE PEN
21259;MACRON
21260;LE PEN
27231;FILLON
55186;LE PEN
8163;LE PEN
11133;MACRON
11134;MÉLENCHON
46098;MÉLENCHON
82058;LE PEN
8164;LE PEN
14258;MACRON
57205;LE PEN
33163;LE PEN
31180;MACRON
6060;FILLON
68086;LE PEN
76257;LE PEN
25233;LE PEN
85086;LE PEN
39220;LE PEN
70226;LE PEN
47092;LE PEN
8165;FILLON
24177;LE PEN
80300;LE PEN
59221;MACRON
62322;LE PEN
80301;LE PEN
57206;MÉLENCHON
62323;LE PEN
11136;MÉLENCHON
24174;MACRON
1156;LE PEN
38161;LE PEN
62324;MACRON
27232;LE PEN
57207;MÉLENCHON
1157;MACRON
77176;LE PEN
1158;LE PEN
18091;MACRON
18092;LE PEN
71194;MACRON
71195;FILLON
33164;MÉLENCHON
40099;MACRON
46099;LE PEN
33165;MACRON
47093;MÉLENCHON
52195;FILLON
42093;MACRON
57208;LE PEN
72129;LE PEN
27233;LE PEN
81088;LE PEN
74122;FILLON
70227;MACRON
88167;LE PEN
84045;LE PEN
88168;LE PEN
4086;FILLON
4085;MACRON
2301;LE PEN
82059;MACRON
7088;MÉLENCHON
34096;MÉLENCHON
14260;LE PEN
47094;LE PEN
47095;LE PEN
57209;LE PEN
54188;LE PEN
59222;LE PEN
62325;LE PEN
24176;MÉLENCHON
82060;FILLON
81089;FILLON
21261;LE PEN
27234;LE PEN
51243;LE PEN
23077;MÉLENCHON
23078;MACRON
51244;LE PEN
10145;FILLON
19082;MÉLENCHON
18093;LE PEN
45141;LE PEN
38162;LE PEN
74123;LE PEN
70228;LE PEN
90043;LE PEN
2302;LE PEN
28146;FILLON
52196;LE PEN
61158;FILLON
80302;LE PEN
36072;FILLON
51245;LE PEN
27235;LE PEN
21262;LE PEN
41080;LE PEN
39221;FILLON
28147;LE PEN
54189;LE PEN
77177;MACRON
80303;LE PEN
51246;LE PEN
62326;LE PEN
78231;MACRON
61159;FILLON
72130;FILLON
80304;LE PEN
45142;LE PEN
46100;MACRON
44056;MÉLENCHON
41081;LE PEN
79116;MACRON
37105;LE PEN
83055;LE PEN
39222;MACRON
79117;MACRON
2303;FILLON
12099;MACRON
63157;LE PEN
63158;LE PEN
52197;LE PEN
26133;MÉLENCHON
60228;LE PEN
10146;LE PEN
77178;LE PEN
70229;LE PEN
85087;FILLON
52198;LE PEN
88169;MACRON
10147;MACRON
81087;MACRON
43092;FILLON
62327;LE PEN
76259;LE PEN
59224;LE PEN
90045;LE PEN
54190;LE PEN
70230;FILLON
67137;FILLON
44057;MACRON
74124;FILLON
60231;LE PEN
59225;LE PEN
1159;FILLON
41082;LE PEN
61160;FILLON
35110;MÉLENCHON
45143;FILLON
73112;LE PEN
73113;MACRON
68087;LE PEN
68088;FILLON
7089;LE PEN
43093;LE PEN
34097;MÉLENCHON
26134;MÉLENCHON
11137;LE PEN
59226;LE PEN
68089;LE PEN
23079;LE PEN
66076;MÉLENCHON
90044;LE PEN
46101;MACRON
59227;LE PEN
21263;FILLON
11138;LE PEN
79118;MACRON
57210;LE PEN
49135;FILLON
82061;MÉLENCHON
23080;MÉLENCHON
17157;MACRON
79119;LE PEN
54191;LE PEN
81090;MACRON
31182;MÉLENCHON
66077;MÉLENCHON
11139;MACRON
8166;LE PEN
44058;LE PEN
72131;LE PEN
88170;LE PEN
51247;FILLON
51248;LE PEN
2305;LE PEN
56058;MACRON
62328;LE PEN
77179;MACRON
59228;LE PEN
50178;MACRON
1160;MACRON
63159;LE PEN
45144;MACRON
77180;FILLON
59229;LE PEN
62329;LE PEN
11140;LE PEN
34098;MÉLENCHON
11141;MÉLENCHON
26135;LE PEN
47096;MACRON
65175;MACRON
68090;MACRON
10148;LE PEN
52199;MACRON
59230;LE PEN
59231;LE PEN
37107;MACRON
17158;LE PEN
45145;LE PEN
54192;LE PEN
60232;LE PEN
65176;MACRON
80305;MACRON
76260;LE PEN
77181;MACRON
27238;LE PEN
61166;LE PEN
25234;LE PEN
25235;LE PEN
70231;LE PEN
70232;MACRON
34099;MACRON
34100;LE PEN
27239;LE PEN
15069;FILLON
9121;MACRON
3113;LE PEN
37108;LE PEN
43094;LE PEN
25236;FILLON
39223;FILLON
58113;FILLON
80306;LE PEN
25237;LE PEN
2308;LE PEN
76262;FILLON
28151;FILLON
68091;LE PEN
67138;FILLON
25238;LE PEN
74126;FILLON
11142;MÉLENCHON
2309;LE PEN
51249;LE PEN
89164;MACRON
62330;LE PEN
74127;LE PEN
78233;FILLON
62331;LE PEN
47097;LE PEN
50181;FILLON
10149;FILLON
27241;LE PEN
14266;MACRON
11143;MÉLENCHON
16137;LE PEN
80307;LE PEN
25239;LE PEN
60233;LE PEN
80308;LE PEN
42094;MACRON
36073;MÉLENCHON
18094;FILLON
57211;LE PEN
57212;MACRON
54193;LE PEN
19083;LE PEN
87065;MACRON
69276;MÉLENCHON
81092;MÉLENCHON
62332;LE PEN
64226;LE PEN
39225;MÉLENCHON
80566;LE PEN
62333;LE PEN
62334;LE PEN
80310;LE PEN
50183;LE PEN
14269;MACRON
2310;LE PEN
47098;FILLON
83056;LE PEN
31183;MÉLENCHON
46102;MACRON
88171;LE PEN
80311;LE PEN
2311;LE PEN
70234;LE PEN
72133;FILLON
74282;MACRON
54194;LE PEN
62335;LE PEN
74128;FILLON
66078;MÉLENCHON
57213;LE PEN
88172;LE PEN
66079;LE PEN
82062;LE PEN
80312;LE PEN
27243;LE PEN
24180;MÉLENCHON
14270;MACRON
12100;MÉLENCHON
42095;MÉLENCHON
68092;LE PEN
51250;LE PEN
11144;LE PEN
60234;LE PEN
57214;FILLON
21265;MACRON
43095;FILLON
21266;FILLON
28153;LE PEN
71198;LE PEN
38167;LE PEN
78234;LE PEN
89165;LE PEN
25241;FILLON
52200;LE PEN
21267;LE PEN
21268;FILLON
25242;LE PEN
12101;MACRON
70235;FILLON
71199;MACRON
77184;MÉLENCHON
8169;LE PEN
54195;LE PEN
50184;LE PEN
76264;LE PEN
32131;MÉLENCHON
76265;LE PEN
21269;LE PEN
52201;LE PEN
27085;LE PEN
25243;LE PEN
84046;MACRON
83057;LE PEN
55188;FILLON
57215;LE PEN
80313;LE PEN
24181;LE PEN
46104;LE PEN
46105;MACRON
33168;LE PEN
59233;LE PEN
30110;MÉLENCHON
60235;LE PEN
7090;LE PEN
87066;MACRON
21270;MACRON
18095;LE PEN
51251;LE PEN
2313;LE PEN
54196;MACRON
21271;FILLON
12102;MACRON
2315;LE PEN
60236;LE PEN
1162;FILLON
68093;FILLON
23081;FILLON
83058;LE PEN
16138;MACRON
17159;LE PEN
62336;LE PEN
60237;LE PEN
21272;MÉLENCHON
72134;LE PEN
8170;LE PEN
57216;LE PEN
86098;LE PEN
36074;LE PEN
61169;MACRON
62337;LE PEN
80314;LE PEN
59234;LE PEN
80315;LE PEN
59236;LE PEN
80316;LE PEN
57217;LE PEN
59237;LE PEN
58114;MACRON
16139;MACRON
24183;MACRON
32132;MACRON
23082;MÉLENCHON
62338;FILLON
61170;FILLON
86099;LE PEN
25244;LE PEN
70236;LE PEN
70237;LE PEN
70238;LE PEN
21273;MACRON
69084;FILLON
3115;FILLON
69085;FILLON
69086;MACRON
35112;MACRON
60238;FILLON
71591;LE PEN
2316;LE PEN
11145;LE PEN
50185;MACRON
57218;MACRON
60239;LE PEN
62339;LE PEN
80317;LE PEN
77185;FILLON
27245;LE PEN
71200;MACRON
51252;LE PEN
89167;LE PEN
45147;MACRON
91235;MÉLENCHON
27246;LE PEN
58115;LE PEN
14271;MÉLENCHON
8171;LE PEN
54197;MACRON
54198;LE PEN
57219;LE PEN
78236;FILLON
67139;LE PEN
71201;FILLON
89168;LE PEN
58116;LE PEN
8172;LE PEN
54199;LE PEN
59238;LE PEN
59239;LE PEN
78237;LE PEN
78238;LE PEN
27247;LE PEN
54200;LE PEN
80318;LE PEN
8173;LE PEN
57220;MACRON
76266;LE PEN
89169;LE PEN
8174;LE PEN
17160;LE PEN
33167;MÉLENCHON
46106;MACRON
48061;MÉLENCHON
57221;LE PEN
88173;LE PEN
34101;LE PEN
51253;LE PEN
81093;MACRON
12103;FILLON
46107;MÉLENCHON
90046;LE PEN
24184;MACRON
62340;LE PEN
50186;LE PEN
33169;MÉLENCHON
11146;LE PEN
31184;MACRON
59240;LE PEN
59241;LE PEN
73114;FILLON
2317;LE PEN
80319;LE PEN
55191;LE PEN
18096;MÉLENCHON
8175;MÉLENCHON
12104;MÉLENCHON
30111;LE PEN
1163;LE PEN
21274;LE PEN
89170;LE PEN
89171;LE PEN
9122;MÉLENCHON
31185;MÉLENCHON
2318;LE PEN
68094;FILLON
80320;LE PEN
57222;LE PEN
78239;LE PEN
87067;MACRON
27248;LE PEN
80321;LE PEN
50188;LE PEN
57224;LE PEN
88174;FILLON
79121;LE PEN
31186;MÉLENCHON
21275;LE PEN
80322;LE PEN
39227;LE PEN
39228;MÉLENCHON
62341;LE PEN
12155;MACRON
37109;MACRON
70239;FILLON
47099;LE PEN
76268;FILLON
24186;LE PEN
7091;MACRON
30112;LE PEN
46108;MACRON
2319;LE PEN
31187;MACRON
30113;MACRON
25245;FILLON
10150;LE PEN
38169;MÉLENCHON
90047;LE PEN
59242;LE PEN
59243;LE PEN
27249;LE PEN
77186;FILLON
60240;LE PEN
39229;MÉLENCHON
60241;FILLON
17162;MACRON
53098;FILLON
51254;LE PEN
84139;LE PEN
76269;LE PEN
51255;FILLON
14274;MACRON
77187;LE PEN
21277;LE PEN
14275;LE PEN
27251;LE PEN
89172;LE PEN
28154;MACRON
27252;LE PEN
76270;MACRON
91240;LE PEN
60242;LE PEN
76271;LE PEN
86100;MACRON
76272;LE PEN
14276;MÉLENCHON
77188;MACRON
61171;FILLON
62342;LE PEN
80325;FILLON
2320;LE PEN
25246;LE PEN
41087;LE PEN
62343;FILLON
21278;FILLON
80324;LE PEN
10151;LE PEN
62344;LE PEN
70240;LE PEN
28155;LE PEN
2321;LE PEN
62345;LE PEN
10153;LE PEN
2322;LE PEN
59244;LE PEN
41088;FILLON
71202;MACRON
89173;LE PEN
60243;LE PEN
17163;LE PEN
21276;FILLON
41086;LE PEN
28156;LE PEN
21279;LE PEN
27254;MACRON
80326;LE PEN
76273;MACRON
55192;MACRON
69087;FILLON
52203;LE PEN
69088;MACRON
51256;FILLON
80327;LE PEN
80328;LE PEN
2323;LE PEN
77190;LE PEN
6062;LE PEN
46109;LE PEN
30114;LE PEN
34102;MACRON
42096;MACRON
11147;MÉLENCHON
15070;MACRON
21280;LE PEN
23083;LE PEN
38170;MACRON
43096;MACRON
48063;FILLON
30115;MACRON
16140;LE PEN
11148;LE PEN
17164;MACRON
73116;FILLON
61172;LE PEN
77191;LE PEN
61173;MACRON
36075;FILLON
71203;FILLON
76275;MACRON
88175;LE PEN
92032;MACRON
10154;FILLON
95241;LE PEN
85092;MACRON
78242;MACRON
14277;MACRON
14278;MACRON
91243;MACRON
91244;LE PEN
78245;FILLON
89175;FILLON
89176;LE PEN
78246;LE PEN
94033;MACRON
89177;MACRON
28157;FILLON
28158;FILLON
45148;LE PEN
50190;FILLON
72136;FILLON
60244;LE PEN
77192;LE PEN
2324;LE PEN
21281;LE PEN
90048;MACRON
25247;LE PEN
17165;LE PEN
16141;LE PEN
31188;MACRON
79122;LE PEN
70242;LE PEN
70243;MACRON
25249;LE PEN
2326;LE PEN
89179;LE PEN
54201;LE PEN
88176;LE PEN
54202;LE PEN
39230;FILLON
57225;LE PEN
11149;FILLON
34103;LE PEN
33170;LE PEN
10155;FILLON
49140;LE PEN
36076;FILLON
36077;LE PEN
4087;MÉLENCHON
11150;MÉLENCHON
11151;LE PEN
11152;MÉLENCHON
57226;LE PEN
66080;MÉLENCHON
66081;FILLON
65177;MACRON
81062;LE PEN
66124;FILLON
10156;LE PEN
13038;LE PEN
57227;LE PEN
83059;LE PEN
4088;MÉLENCHON
53099;MACRON
54203;LE PEN
54204;LE PEN
80329;LE PEN
80330;LE PEN
52204;LE PEN
2327;LE PEN
59246;LE PEN
80331;LE PEN
80332;LE PEN
5056;FILLON
59247;MACRON
77193;LE PEN
17166;LE PEN
77194;LE PEN
19084;MACRON
35114;FILLON
91249;MACRON
76276;LE PEN
55193;LE PEN
31189;MÉLENCHON
21282;MACRON
14280;FILLON
60245;LE PEN
14281;FILLON
66082;LE PEN
9123;MÉLENCHON
79125;MACRON
67140;LE PEN
67141;LE PEN
41090;LE PEN
39232;LE PEN
62346;LE PEN
67142;LE PEN
80333;FILLON
27258;LE PEN
68095;MACRON
31190;MÉLENCHON
34104;MACRON
66083;MÉLENCHON
8176;FILLON
41091;MACRON
24188;LE PEN
80334;MACRON
95250;MÉLENCHON
33171;LE PEN
62347;LE PEN
57228;LE PEN
2328;LE PEN
13039;LE PEN
76278;LE PEN
76279;LE PEN
80335;LE PEN
80336;LE PEN
55194;FILLON
70244;LE PEN
88179;MÉLENCHON
25250;LE PEN
39233;LE PEN
10158;LE PEN
89180;LE PEN
55195;LE PEN
45149;LE PEN
67143;MACRON
27259;MACRON
67144;LE PEN
80337;LE PEN
29058;MACRON
62348;FILLON
54205;LE PEN
31191;MÉLENCHON
9125;MÉLENCHON
85093;MACRON
35115;MACRON
41092;LE PEN
36078;LE PEN
70245;LE PEN
53100;FILLON
24189;LE PEN
60247;LE PEN
5057;FILLON
60248;LE PEN
80338;LE PEN
77195;LE PEN
52205;FILLON
60249;LE PEN
47100;MACRON
27260;LE PEN
57229;LE PEN
24190;MACRON
39234;LE PEN
57230;LE PEN
14282;LE PEN
16143;LE PEN
60250;LE PEN
62349;LE PEN
60251;LE PEN
80339;LE PEN
16144;MACRON
27261;LE PEN
62350;MACRON
62351;LE PEN
38172;LE PEN
17168;FILLON
25251;LE PEN
25252;FILLON
32133;FILLON
58117;LE PEN
14283;LE PEN
80340;LE PEN
2329;LE PEN
80341;LE PEN
25253;LE PEN
3116;FILLON
46111;MACRON
27263;LE PEN
59249;LE PEN
89181;LE PEN
42098;LE PEN
50192;LE PEN
73117;MACRON
14284;LE PEN
48064;LE PEN
30116;LE PEN
11154;LE PEN
59250;FILLON
25255;FILLON
25288;FILLON
14286;LE PEN
60252;LE PEN
63162;MACRON
89182;MACRON
30117;LE PEN
66084;LE PEN
47101;LE PEN
78251;FILLON
31192;MACRON
33172;LE PEN
58118;LE PEN
11155;MÉLENCHON
85094;FILLON
90049;LE PEN
16145;LE PEN
70247;LE PEN
34105;LE PEN
57231;LE PEN
83060;LE PEN
34106;MÉLENCHON
71204;LE PEN
70248;LE PEN
21283;FILLON
8178;LE PEN
54206;FILLON
88180;FILLON
90050;MÉLENCHON
39235;LE PEN
54207;MACRON
24191;LE PEN
11156;MACRON
11157;MÉLENCHON
42099;LE PEN
34107;MÉLENCHON
48065;FILLON
88181;LE PEN
10159;LE PEN
25256;LE PEN
62352;FILLON
80342;LE PEN
80343;LE PEN
70252;LE PEN
52206;LE PEN
70249;LE PEN
57232;LE PEN
31194;MÉLENCHON
60253;LE PEN
41093;LE PEN
31195;MÉLENCHON
47102;FILLON
1165;LE PEN
3117;MÉLENCHON
8179;LE PEN
70250;LE PEN
21284;MACRON
39236;MACRON
51259;LE PEN
54208;LE PEN
61176;FILLON
69089;MACRON
60254;LE PEN
80344;LE PEN
36079;LE PEN
26137;MÉLENCHON
2330;LE PEN
73118;MACRON
74130;LE PEN
79128;MACRON
31196;LE PEN
54209;LE PEN
95252;MACRON
46112;MÉLENCHON
70251;LE PEN
28160;LE PEN
33173;LE PEN
37110;LE PEN
25257;LE PEN
74131;FILLON
71205;LE PEN
68096;FILLON
80345;LE PEN
25258;MACRON
31197;LE PEN
2331;LE PEN
27266;LE PEN
80346;LE PEN
76475;MACRON
1166;MACRON
80347;LE PEN
23086;MACRON
80348;LE PEN
80349;LE PEN
80350;LE PEN
21285;LE PEN
88182;LE PEN
57233;LE PEN
39237;MACRON
58119;LE PEN
25259;LE PEN
39239;MÉLENCHON
70253;LE PEN
39238;MÉLENCHON
39240;MACRON
59251;LE PEN
57234;LE PEN
81095;FILLON
10160;FILLON
81094;MACRON
46113;LE PEN
46114;LE PEN
46115;MACRON
28161;LE PEN
76280;LE PEN
88183;LE PEN
39241;LE PEN
