CodeInsee;Gagnant
26006;LE PEN
43004;LE PEN
43005;MÉLENCHON
19006;MACRON
23003;FILLON
47006;LE PEN
51006;LE PEN
9006;MACRON
10004;LE PEN
52006;LE PEN
65005;MACRON
9007;MÉLENCHON
58002;LE PEN
58003;LE PEN
22001;FILLON
74005;MACRON
18004;LE PEN
79136;LE PEN
25013;LE PEN
73014;LE PEN
54011;FILLON
60009;LE PEN
79007;FILLON
28004;LE PEN
49002;LE PEN
72003;MÉLENCHON
4005;MÉLENCHON
47007;MÉLENCHON
80020;MACRON
74006;MACRON
4006;FILLON
62023;LE PEN
16007;MÉLENCHON
18005;LE PEN
76001;LE PEN
58004;LE PEN
28005;LE PEN
15003;FILLON
43006;LE PEN
81008;LE PEN
61002;LE PEN
12004;MACRON
9008;MÉLENCHON
81007;LE PEN
64017;MÉLENCHON
21010;FILLON
62024;LE PEN
12006;FILLON
57013;LE PEN
67005;FILLON
68002;LE PEN
67006;LE PEN
84001;LE PEN
48004;LE PEN
19007;MACRON
68004;FILLON
67008;LE PEN
57014;LE PEN
57015;LE PEN
67009;LE PEN
71005;MACRON
46003;MÉLENCHON
76002;LE PEN
9009;MÉLENCHON
57016;LE PEN
30009;MÉLENCHON
11009;LE PEN
70011;LE PEN
8008;LE PEN
25014;LE PEN
79008;LE PEN
10005;LE PEN
54012;MACRON
70012;LE PEN
25015;FILLON
74007;FILLON
39008;LE PEN
35002;MACRON
55005;FILLON
57017;LE PEN
71006;MACRON
81009;MÉLENCHON
25016;FILLON
14006;MACRON
14007;LE PEN
58005;FILLON
88006;LE PEN
33003;LE PEN
31007;LE PEN
87002;LE PEN
38008;MACRON
27009;LE PEN
16008;MÉLENCHON
1004;LE PEN
69005;LE PEN
1005;LE PEN
16009;LE PEN
86002;LE PEN
63003;MACRON
33004;MÉLENCHON
12007;MÉLENCHON
81010;MÉLENCHON
42003;MÉLENCHON
70013;LE PEN
37002;LE PEN
74008;MACRON
60010;LE PEN
70014;LE PEN
2011;LE PEN
1006;MÉLENCHON
62025;LE PEN
16010;FILLON
95011;LE PEN
41001;LE PEN
8010;FILLON
55007;LE PEN
37003;MACRON
56002;MACRON
26007;FILLON
51007;FILLON
52007;LE PEN
36003;LE PEN
81011;MÉLENCHON
62026;MACRON
2012;LE PEN
51008;LE PEN
53003;MACRON
62027;LE PEN
1007;LE PEN
19008;MÉLENCHON
76004;LE PEN
47008;MÉLENCHON
1008;LE PEN
27010;LE PEN
57018;LE PEN
66003;LE PEN
55008;LE PEN
64018;MACRON
54013;LE PEN
95012;LE PEN
62028;LE PEN
62029;LE PEN
71007;MACRON
88007;FILLON
14009;MACRON
76005;MÉLENCHON
27012;LE PEN
76006;LE PEN
27011;LE PEN
27013;LE PEN
27014;LE PEN
59006;LE PEN
80021;MACRON
2013;LE PEN
50006;MACRON
2014;LE PEN
77002;LE PEN
28006;LE PEN
45004;LE PEN
42004;LE PEN
6002;LE PEN
68005;FILLON
72004;FILLON
57019;LE PEN
70015;LE PEN
25017;FILLON
70016;LE PEN
64019;FILLON
40002;MACRON
21011;FILLON
21012;LE PEN
69006;LE PEN
62030;LE PEN
53004;FILLON
77003;LE PEN
69007;LE PEN
83003;LE PEN
79009;LE PEN
60011;LE PEN
16011;LE PEN
17007;LE PEN
31008;LE PEN
76007;LE PEN
64225;MACRON
5004;FILLON
55009;LE PEN
44003;MACRON
55010;LE PEN
57020;LE PEN
54014;LE PEN
21013;MÉLENCHON
8011;LE PEN
37004;LE PEN
86003;MACRON
70017;LE PEN
2015;LE PEN
70018;LE PEN
72005;FILLON
65006;MACRON
26008;LE PEN
76008;LE PEN
76009;LE PEN
76010;LE PEN
76011;LE PEN
50007;LE PEN
50008;MACRON
69008;FILLON
57021;MACRON
89005;LE PEN
89006;LE PEN
80022;LE PEN
7009;LE PEN
26009;LE PEN
27015;LE PEN
80023;LE PEN
22002;MACRON
2016;LE PEN
3004;FILLON
70019;LE PEN
70020;LE PEN
15004;MACRON
90001;LE PEN
52008;LE PEN
39009;LE PEN
39010;LE PEN
78013;FILLON
55011;LE PEN
33005;MACRON
54015;LE PEN
1009;MACRON
60012;LE PEN
81012;FILLON
17008;MACRON
54016;LE PEN
74009;MACRON
95014;FILLON
52009;LE PEN
47009;FILLON
67010;LE PEN
64021;MACRON
68007;MACRON
6003;LE PEN
45005;LE PEN
70021;LE PEN
53005;MACRON
35003;MACRON
81013;MACRON
64022;MACRON
62031;LE PEN
65007;MÉLENCHON
78015;MACRON
77004;LE PEN
42005;MACRON
89007;LE PEN
30010;LE PEN
65009;MACRON
28007;FILLON
64023;MACRON
41002;LE PEN
16012;LE PEN
16013;FILLON
8013;LE PEN
16014;LE PEN
89008;LE PEN
90002;LE PEN
49007;MACRON
14012;LE PEN
91016;LE PEN
76012;LE PEN
27017;MACRON
76013;LE PEN
76014;LE PEN
91017;MACRON
82003;LE PEN
57022;MACRON
60013;LE PEN
76015;LE PEN
70022;MÉLENCHON
60014;LE PEN
33006;LE PEN
15005;MACRON
15006;FILLON
46004;MÉLENCHON
46005;MACRON
46006;MÉLENCHON
12008;MACRON
1010;LE PEN
88008;LE PEN
4007;LE PEN
85004;LE PEN
81014;LE PEN
76016;FILLON
76017;LE PEN
86004;MACRON
64024;MACRON
17009;MÉLENCHON
86005;LE PEN
51009;LE PEN
71008;LE PEN
51010;LE PEN
24008;MACRON
54017;MÉLENCHON
65010;MACRON
16015;MACRON
17010;MACRON
40003;MÉLENCHON
64025;FILLON
66005;MÉLENCHON
14013;FILLON
62032;LE PEN
40004;MACRON
49008;FILLON
2017;LE PEN
60015;LE PEN
64026;MACRON
59007;LE PEN
34010;MÉLENCHON
59008;LE PEN
14015;MACRON
2018;LE PEN
70023;LE PEN
38009;LE PEN
36004;LE PEN
90003;LE PEN
65012;MACRON
58006;LE PEN
24009;MACRON
58007;LE PEN
62033;LE PEN
89009;LE PEN
89010;FILLON
14016;LE PEN
74010;MACRON
8014;LE PEN
74012;MACRON
89011;FILLON
17011;LE PEN
62034;LE PEN
24010;LE PEN
77005;LE PEN
59010;LE PEN
76020;LE PEN
50013;FILLON
52011;LE PEN
50014;MACRON
76019;LE PEN
26010;LE PEN
17012;LE PEN
62035;LE PEN
59011;LE PEN
39011;LE PEN
2019;LE PEN
38010;LE PEN
18006;LE PEN
7010;MACRON
52012;LE PEN
4008;LE PEN
76021;LE PEN
89012;FILLON
50015;FILLON
59012;LE PEN
64027;MACRON
71009;MACRON
88009;LE PEN
54018;LE PEN
64028;MÉLENCHON
76022;LE PEN
52013;MÉLENCHON
60016;LE PEN
16016;MACRON
32002;MÉLENCHON
54019;LE PEN
60017;LE PEN
69009;MACRON
66006;MACRON
65013;LE PEN
84002;FILLON
59013;MACRON
47010;LE PEN
15007;FILLON
25018;LE PEN
17013;MÉLENCHON
47011;LE PEN
54020;MACRON
51012;FILLON
8015;FILLON
21014;MACRON
60019;LE PEN
58008;MACRON
38011;LE PEN
74013;FILLON
6004;FILLON
65014;MÉLENCHON
31009;MACRON
15008;FILLON
31010;FILLON
85005;FILLON
86006;MACRON
21015;MACRON
57024;FILLON
60020;LE PEN
65015;LE PEN
65016;MÉLENCHON
37005;LE PEN
49009;LE PEN
63005;MACRON
24011;MÉLENCHON
92002;MACRON
7011;MÉLENCHON
35004;LE PEN
86007;MACRON
9011;MÉLENCHON
32003;FILLON
48005;FILLON
11010;LE PEN
71010;LE PEN
76023;LE PEN
16017;MACRON
62036;LE PEN
2020;LE PEN
63006;MACRON
57025;LE PEN
23004;MACRON
47012;LE PEN
59014;LE PEN
62037;MACRON
71011;FILLON
38012;LE PEN
51013;FILLON
8016;LE PEN
26011;MÉLENCHON
88010;LE PEN
57026;MACRON
63007;MÉLENCHON
15009;FILLON
42006;LE PEN
81015;MÉLENCHON
61005;LE PEN
25019;LE PEN
68008;LE PEN
50016;FILLON
27018;LE PEN
60021;LE PEN
89013;LE PEN
38013;MACRON
9012;MÉLENCHON
1011;LE PEN
8017;LE PEN
60022;FILLON
70024;LE PEN
73017;LE PEN
85006;LE PEN
55012;LE PEN
18007;FILLON
52014;LE PEN
84003;LE PEN
9013;MÉLENCHON
74014;FILLON
65017;MACRON
11011;LE PEN
64029;MÉLENCHON
30012;LE PEN
1012;MÉLENCHON
64031;MÉLENCHON
1013;LE PEN
38297;LE PEN
64032;FILLON
43007;LE PEN
64033;MÉLENCHON
33007;MACRON
31011;MÉLENCHON
70025;LE PEN
1014;MACRON
65018;LASSALLE
64034;MACRON
