codegeo;libgeo;Gagnant;pop1-0;nb_ecoles_publique1-0;nb_ecoles_publique/pop1-0;nb_ecoles_prive1-0;nb/ecoles_prive/pop1-0;nb_ecoles_totale1-0;nb_ecoles_totale/pop1-0;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021  1-0;somme_tauxpourmille_crime 1-0;Taux_Chomage 1-0;Points;Points 0-1
22011;Boqueho;MACRON;0,000692504;0;0,017917478;0;0;0,003558719;0,013030893;0;0,005110162;0,170387779;0,207138816;0,076577282
22012;La Bouillie;MACRON;0,001244512;0;0,009972987;0;0;0,003558719;0,007253082;0;0,005108421;0,119858989;0,143437991;0,053027683
22013;Bourbriac;MACRON;0,000456835;0;0,027151463;0;0;0,003558719;0,019746518;0;0,0050986;0,078730905;0,131184321;0,048497616
22014;Bourseul;MACRON;0,000675735;0;0,018361811;0;0;0,003558719;0,013354044;0;0,00509797;0,124559342;0,162048902;0,059907963
22015;Bréhand;MACRON;0,001066401;0;0,011637997;0;0;0,003558719;0,008463998;0;0,005090266;0,123384254;0,149642916;0,055321586
22016;Île-de-Bréhat;FILLON;0,000720602;0;0,017219268;0;0;0,003558719;0,012523104;0;0,005086981;0,098707403;0,134257358;0,049633689
22018;Brélidy;MACRON;0,001306149;0;0,009502546;0;0;0,003558719;0,006910943;0;0,005083575;0,079905993;0,102709206;0,037970632
22019;Bringolo;LE PEN;0,001245419;0;0,009965755;0,018518519;0,026575346;0,007117438;0,014495624;0;0,005083373;0,099882491;0,183823354;0,067957774
22020;Broons;MACRON;0,000551555;0;0,022492472;0;0;0,003558719;0,016358162;0;0,005079749;0,077555817;0,122037755;0,045116216
22021;Brusvily;LE PEN;0,000658513;0;0,018841704;0;0;0,003558719;0,013703057;0;0,005078779;0,203290247;0,2415723;0,089307019
22023;Bulat-Pestivien;MACRON;0,001175171;0;0,010561231;0;0;0,003558719;0,007680895;0;0,00507523;0,142185664;0,166678191;0,061619367
22024;Calanhel;FILLON;0,001220039;0;0,010172977;0;0;0,003558719;0,007398529;0;0,005072328;0,111633373;0,135497246;0,050092064
22025;Callac;MACRON;0,000602315;0;0,020598379;0;0;0,003558719;0,014980639;0;0,005071282;0,099882491;0,141135106;0,052176328
22026;Calorguen;MÉLENCHON;0,000275098;0;0,045058941;0;0;0,003558719;0,032770139;0;0,005068965;0,173913043;0,257086186;0,095042357
22027;Le Cambout;LE PEN;0,000250625;0;0,049450959;0;0;0,003558719;0,035964334;0;0,005067581;0,152761457;0,243494956;0,090017807
22028;Camlez;MACRON;0,00111716;0;0,011109421;0;0;0,003558719;0,008079579;0;0,005067058;0,162162162;0,18753538;0,069330075
22029;Canihuel;MACRON;0,001316119;0,01;0,028291732;0;0;0,010676157;0,020575805;0;0,005066675;0,128084606;0,183334937;0,06777721
22030;Caouënnec-Lanvézéac;MACRON;0,000757312;0;0,016385064;0,018518519;0,043693505;0,007117438;0,023832821;0;0,005066023;0,118683901;0,252112131;0,093203495
22031;Carnoët;MÉLENCHON;0,000510313;0;0,024308624;0;0;0,003558719;0,017678999;0,279;0,005063882;0,148061105;0,474622923;0,175463653
22032;Caulnes;MACRON;0,000885117;0;0,014020393;0,018518519;0,037387715;0,007117438;0,020393279;0;0,005061719;0,136310223;0,251446161;0,092957293
22033;Caurel;MACRON;0,000954458;0;0,013002282;0;0;0,003558719;0,009456205;0;0,005059721;0,145710928;0,174183594;0,064394045
22034;Cavan;MACRON;0,000590985;0;0,020992989;0;0;0,003558719;0,015267628;0;0,005058626;0,142185664;0,184095892;0,068058528
22035;Les Champs-Géraux;MÉLENCHON;0,000245186;0;0,050545806;0;0;0,003558719;0,036760586;0;0,00505791;0,23266745;0,325276938;0,12025184
22036;La Chapelle-Blanche;LE PEN;0,0003177;0;0,039025392;0;0;0,003558719;0,028382103;0,906;0,005055498;0,19506463;1,173845323;0,433959631
22037;La Chapelle-Neuve;MÉLENCHON;0,000512126;0;0,024222656;0;0;0,003558719;0,017616477;0;0,005054027;0,169212691;0,216617977;0,080081639
22039;La Chèze;FILLON;0,001097219;0;0,011311247;0;0;0,003558719;0,008226361;0;0,005051045;0,068155112;0,093840984;0,034692134
22040;Coadout;MÉLENCHON;0,001664637;0,01;0,01491336;0,018518519;0,01988448;0,010676157;0,01626912;0;0,005050987;0,122209166;0,19987623;0,073892372
22041;Coatascorn;MÉLENCHON;0,000235669;0;0;0;0;0;0;0,004;0,005048276;0,029377203;0,038661148;0,014292665
22042;Coatréven;MACRON;0,000829373;0;0,014962234;0;0;0,003558719;0,010881625;0;0,005043518;0,068155112;0,099871862;0,036921693
22043;Coëtlogon;MACRON;0,000915936;0;0,013548883;0;0;0,003558719;0,009853733;0;0,005042012;0,1386604;0,168020964;0,062115778
22044;Coëtmieux;MACRON;0,00071607;0;0,017328166;0;0;0,003558719;0,012602303;0;0,005041056;0,152761457;0,188449052;0,069667851
22045;Cohiniac;LE PEN;0,000677094;0;0,018324963;0;0;0,003558719;0,013327246;0;0,005034523;0,089306698;0,126670524;0,046828907
22046;Le Mené;MACRON;0,001043741;0;0,011890559;0;0;0,003558719;0,008647679;0;0,005034065;0,089306698;0,115922742;0,042855553
22047;Corlay;MACRON;0,001090421;0;0,011381736;0,018518519;0,030351296;0,007117438;0,016555252;0;0,005033893;0,091656874;0,186420768;0,068918013
22048;Corseul;MACRON;0,000477229;0;0,025992263;0;0;0,003558719;0,018903464;0;0,005029117;0,188014101;0,238416174;0,088140228
22049;Créhen;MACRON;0,001494684;0;0,00830428;0;0;0,003558719;0,006039476;0;0,005027775;0,115158637;0,136024852;0,050287115
22050;Dinan;MACRON;0,000833452;0;0,014889033;0,018518519;0,039704087;0,007117438;0,021656795;0,028;0,005027297;0,166862515;0,316677266;0,117072622
22052;Duault;MÉLENCHON;0,000324498;0;0,038208969;0;0;0,003558719;0,027788341;0;0,005019592;0,130434783;0,201776183;0,074594767
22053;Éréac;FILLON;0,000442785;0;0,028012103;0;0;0,003558719;0,020372438;0;0,005008601;0,143360752;0,197196679;0,072901767
22054;Erquy;MACRON;0,001407214;0;0,008820308;0,018518519;0,02352082;0,007117438;0,012829519;0;0,005008076;0,12573443;0,200841187;0,074249107
22055;Binic-Étables-sur-Mer;MACRON;0,001378209;0;0,00900586;0,018518519;0,024015626;0,007117438;0,013099432;0;0,005003196;0,159811986;0,236329935;0,087368965
22056;Évran;MACRON;0,001030144;0;0,012047427;0,018518519;0,032126473;0,007117438;0,017523511;0;0,004999052;0,091656874;0,191509954;0,070799438
22057;Le Faouët;MÉLENCHON;0,000613645;0;0,020218317;0;0;0,003558719;0,01470423;0,001;0,004995477;0,164512338;0,206044007;0,076172541
22059;Le Fœil;MACRON;0,000690691;0;0,017964489;0;0;0,003558719;0,013065083;0;0,004993655;0,126909518;0,163623436;0,060490053
22060;Gausson;FILLON;0,001282129;0;0,00968051;0,018518519;0,025814692;0,007117438;0,014080741;0;0,004982144;0,086956522;0,16861143;0,062334068
22061;Glomel;MÉLENCHON;0,000483121;0;0,025675567;0;0;0,003558719;0,018673139;0,016;0,004981851;0,145710928;0,211524606;0,078198667
22062;Gomené;LE PEN;0,000759125;0;0,016345971;0;0;0,003558719;0,011887979;0;0,004980558;0,180963572;0,214937205;0,079460273
22063;Gommenec'h;LE PEN;0,00046046;0;0,026937885;0;0;0,003558719;0,019591189;0;0,004978917;0,132784959;0,18475341;0,068301607
22064;Gouarec;MACRON;0,000920014;0,01;0,040466523;0;0;0,010676157;0,029430198;0;0,00497886;0,126909518;0,202705113;0,074938183
22065;Goudelin;MACRON;0,000564245;0;0,021987019;0;0;0,003558719;0,015990559;0;0,004978108;0,124559342;0,168079273;0,062137334
22067;Grâces;MACRON;0,000392932;0;0,031562027;0;0;0,003558719;0,022954202;0;0,004978009;0,141010576;0,200897746;0,074270017
22068;Grâce-Uzel;LE PEN;0,000970321;0;0,012789827;0;0;0,003558719;0,009301692;0;0,004975913;0,139835488;0,167873241;0,062061166
22069;Guenroc;FILLON;0,000363927;0;0,034074417;0;0;0,003558719;0,024781394;0;0,004975235;0,108108108;0,172303081;0,063698837
22070;Guingamp;MACRON;0,000200772;0;0,061702321;0;0;0,003558719;0,044874415;0,186;0,004974371;0,186839013;0,484590892;0,179148718
22071;Guitté;MACRON;0,001941548;0;0,00639342;0,018518519;0,017049121;0,007117438;0,009299521;0;0,004972304;0,091656874;0,148361909;0,054848009
22072;Gurunhuel;LE PEN;0,000847048;0;0,014650168;0;0;0,003558719;0,010654668;0;0,004969574;0,118683901;0,149805359;0,055381639
22073;La Harmoye;MACRON;0,000424204;0;0,02923782;0;0;0,003558719;0,021263869;0;0,004968107;0,128084606;0,183978606;0,068015169
22074;Le Haut-Corlay;MACRON;0,000940409;0;0,013196463;0;0;0,003558719;0,009597428;0;0,004960903;0,117508813;0,146204016;0,054050256
22075;Hémonstoir;LE PEN;0,001239074;0;0;0;0;0;0;0;0,004955776;0,21386604;0,22006089;0,081354452
22076;Hénanbihen;MACRON;0,000824841;0;0,015044395;0;0;0,003558719;0,010941378;0,001;0,004954885;0,101057579;0,133823078;0,04947314
22077;Hénansal;MACRON;0,000593704;0;0,020896912;0;0;0,003558719;0,015197754;0;0,004949754;0,081081081;0,122719205;0,045368142
