codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
1060;Brénod;1.0;0.0;1.0;0;0.0;FILLON
1061;Brens;1.0;0.0;1.0;0;13.311302284055376;LE PEN
1062;Bressolles;1.0;0.0;1.0;0;0.0;FILLON
1063;Brion;1.0;0.0;1.0;0;0.0;FILLON
1064;Briord;1.0;0.0;1.0;3,7;11.960002224747132;LE PEN
1065;Buellas;1.0;0.0;1.0;0;29.74393480303294;MACRON
1066;La Burbanche;0.0;0.0;0.0;17,9;0.0;LE PEN
1067;Ceignes;0.0;0.0;0.0;2,2;180.80783039642196;MACRON
1068;Cerdon;1.0;0.0;1.0;0,3;6.570302233902759;LE PEN
1069;Certines;1.0;0.0;1.0;0;29.390599818770628;LE PEN
1071;Cessy;1.0;0.0;1.0;0;66.78614894822313;FILLON
1072;Ceyzériat;1.0;0.0;1.0;0;38.3019217298275;MACRON
1073;Ceyzérieu;1.0;0.0;1.0;0;0.0;LE PEN
1074;Chalamont;1.0;0.0;1.0;0;58.00732858350204;LE PEN
1075;Chaleins;1.0;0.0;1.0;0;0.0;LE PEN
1076;Chaley;0.0;0.0;0.0;0;0.0;LE PEN
1077;Challes-la-Montagne;0.0;0.0;0.0;0;0.0;LE PEN
1078;Challex;1.0;0.0;1.0;0;43.32063176017339;FILLON
1079;Champagne-en-Valromey;1.0;1.0;2.0;10,2;0.0;MÉLENCHON
1080;Champdor-Corcelles;1.0;0.0;1.0;0;0.0;LE PEN
1081;Champfromier;1.0;0.0;1.0;40,2;0.0;LE PEN
1082;Chanay;1.0;0.0;1.0;0;0.0;LE PEN
1083;Chaneins;1.0;0.0;1.0;0;0.0;LE PEN
1084;Chanoz-Châtenay;1.0;0.0;1.0;0;0.0;LE PEN
1085;La Chapelle-du-Châtelard;0.0;0.0;0.0;0;0.0;LE PEN
1087;Charix;1.0;0.0;1.0;2,5;0.0;LE PEN
1088;Charnoz-sur-Ain;1.0;0.0;1.0;0;14.531594390641969;LE PEN
1089;Château-Gaillard;1.0;0.0;1.0;0;81.4649040285006;LE PEN
1090;Châtenay;1.0;0.0;1.0;0;0.0;FILLON
1092;Châtillon-la-Palud;1.0;0.0;1.0;0;16.25517030910774;LE PEN
1093;Châtillon-sur-Chalaronne;1.0;1.0;2.0;0;75.73559080963241;FILLON
1094;Chavannes-sur-Reyssouze;1.0;0.0;1.0;0;0.0;LE PEN
1095;Nivigne et Suran;1.0;0.0;1.0;0;0.0;LE PEN
1096;Chaveyriat;1.0;0.0;1.0;0;0.0;LE PEN
1098;Chazey-Bons;1.0;0.0;1.0;0;26.287894472665396;LE PEN
1099;Chazey-sur-Ain;1.0;0.0;1.0;0;112.17783502904376;LE PEN
1100;Cheignieu-la-Balme;0.0;0.0;0.0;0;0.0;MÉLENCHON
1101;Chevillard;0.0;0.0;0.0;0;0.0;LE PEN
1102;Chevroux;1.0;0.0;1.0;0;0.0;LE PEN
1103;Chevry;1.0;1.0;2.0;0;51.53084388866956;FILLON
1104;Chézery-Forens;1.0;0.0;1.0;97,2;0.0;LE PEN
1105;Civrieux;1.0;0.0;1.0;0;65.40555007446822;LE PEN
1106;Cize;0.0;0.0;0.0;22;0.0;LE PEN
1107;Cleyzieu;0.0;0.0;0.0;0;0.0;LE PEN
1108;Coligny;1.0;0.0;1.0;0;12.666860220837224;LE PEN
1109;Collonges;1.0;0.0;1.0;0;35.900084555864225;LE PEN
1110;Colomieu;0.0;0.0;0.0;0;0.0;MÉLENCHON
1111;Conand;0.0;0.0;0.0;97,1;0.0;MÉLENCHON
1112;Condamine;1.0;0.0;1.0;0;0.0;LE PEN
1113;Condeissiat;1.0;0.0;1.0;0;0.0;LE PEN
1114;Confort;1.0;0.0;1.0;2,6;0.0;LE PEN
