CODGEO_2024;somme_tauxpourmille
1001;0.0
1002;0.0
1004;145.79037999258875
1005;43.606563836744
1006;0.0
1007;65.73471984562646
1008;0.0
1009;0.0
1010;0.0
1011;0.0
1012;0.0
1013;0.0
1014;71.4907171565586
1015;0.0
1016;0.0
1017;0.0
1019;0.0
1021;17.62595535020143
1022;15.41903769866761
1023;0.0
1024;44.65830773021481
1025;24.14425521367751
1026;20.660829203890856
1027;66.90201708137305
1028;0.0
1029;0.0
1030;26.786034025325083
1031;117.44473202649016
1032;100.06823218428347
1033;137.35232342527556
1034;119.85144496899805
1035;0.0
1036;0.0
1037;0.0
1038;19.63350785340314
1040;0.0
1041;0.0
1042;0.0
1043;138.77841989966285
1044;0.0
1045;0.0
1046;0.0
1047;0.0
1049;108.15493221842448
1050;0.0
1051;0.0
1052;0.0
1053;170.48811614806237
1054;44.421163005111765
1056;0.0
1057;0.0
1058;0.0
1060;0.0
1061;13.311302284055376
1062;0.0
1063;0.0
1064;11.960002224747132
1065;29.74393480303294
1066;0.0
1067;180.80783039642193
1068;6.570302233902759
1069;29.390599818770628
1071;66.78614894822313
1072;38.3019217298275
1073;0.0
1074;58.00732858350204
1075;0.0
1076;0.0
1077;0.0
1078;43.32063176017339
1079;0.0
1080;0.0
1081;0.0
1082;0.0
1083;0.0
1084;0.0
1085;0.0
1087;0.0
1088;14.531594390641969
1089;81.4649040285006
1090;0.0
1092;16.25517030910774
1093;75.73559080963241
1094;0.0
1095;0.0
1096;0.0
1098;26.287894472665393
1099;112.17783502904375
1100;0.0
1101;0.0
1102;0.0
1103;51.53084388866956
1104;0.0
1105;65.40555007446822
1106;0.0
1107;0.0
1108;12.666860220837224
1109;35.900084555864225
1110;0.0
1111;0.0
1112;0.0
1113;0.0
1114;0.0
1115;0.0
1116;0.0
1117;0.0
1118;3.858024691358025
1121;0.0
1123;0.0
1124;0.0
1125;0.0
1127;0.0
1128;0.0
1129;0.0
1130;3.361344537815126
1133;0.0
1134;24.200338839108934
1135;66.19656861475845
1136;0.0
1138;67.31009833004205
1139;0.0
1140;0.0
1141;0.0
1142;133.66174764967954
1143;96.64663500360254
1145;30.48156977433086
1146;0.0
1147;0.0
1148;15.32381496034381
1149;23.041113638566884
1150;0.0
1151;8.141617225622262
1152;0.0
1153;58.426778626748664
1155;0.0
1156;0.0
1157;30.44082540000373
1158;5.671077504725898
1159;36.366412210389825
1160;138.73584934505038
1162;0.0
1163;7.716658874646161
1165;0.0
1166;17.70788676958118
1167;0.0
1169;0.0
